308: X: 0.367505, Y: 0.408327, Z: 0.835589
309: X: -0.031956, Y: 0.113495, Z: 0.993025
310: X: -0.420909, Y: -0.210892, Z: 0.882247
311: X: -0.695494, Y: -0.478188, Z: 0.536306
312: X: -0.765747, Y: -0.597820, Z: -0.237155
313: X: -0.680705, Y: -0.558254, Z: -0.474334
314: X: -0.378746, Y: -0.371828, Z: -0.847523
315: X: 0.024248, Y: -0.086719, Z: -0.995938
316: X: 0.421679, Y: 0.221745, Z: -0.879213
317: X: 0.707477, Y: 0.471237, Z: -0.526699
318: X: 0.803871, Y: 0.593985, Z: -0.031190
319: X: 0.683113, Y: 0.555620, Z: 0.473965
320: X: 0.377129, Y: 0.366089, Z: 0.850736
321: X: -0.030264, Y: 0.077587, Z: 0.996526
322: X: -0.428058, Y: -0.231156, Z: 0.873689
323: X: -0.709891, Y: -0.477588, Z: 0.517652
324: X: -0.780656, Y: -0.572740, Z: -0.250089
325: X: -0.693923, Y: -0.528681, Z: -0.488843
326: X: -0.388049, Y: -0.337917, Z: -0.857456
327: X: 0.021418, Y: -0.057299, Z: -0.998127
328: X: 0.425865, Y: 0.238774, Z: -0.872712
329: X: 0.717246, Y: 0.471200, Z: -0.513350
330: X: 0.816578, Y: 0.577037, Z: -0.015115
331: X: 0.695817, Y: 0.526899, Z: 0.488073
332: X: 0.386965, Y: 0.333969, Z: 0.859490
333: X: -0.025938, Y: 0.050878, Z: 0.998368
334: X: -0.430831, Y: -0.245497, Z: 0.868399
335: X: -0.719258, Y: -0.475775, Z: 0.506266
336: X: -0.791849, Y: -0.554300, Z: -0.256370
337: X: -0.704902, Y: -0.506414, Z: -0.496647
338: X: -0.397538, Y: -0.312087, Z: -0.862882
339: X: 0.015983, Y: -0.034650, Z: -0.999272
340: X: 0.425708, Y: 0.252140, Z: -0.869021
341: X: 0.722165, Y: 0.471643, Z: -0.505994
342: X: 0.825322, Y: 0.564625, Z: -0.006539
343: X: 0.706503, Y: 0.505467, Z: 0.495335
344: X: 0.397171, Y: 0.309774, Z: 0.863883
345: X: -0.018986, Y: 0.030540, Z: 0.999353
346: X: -0.429372, Y: -0.256674, Z: 0.865886
347: X: -0.723869, Y: -0.474815, Z: 0.500565
348: X: -0.799485, Y: -0.542213, Z: -0.258511
349: X: -0.713620, Y: -0.490544, Z: -0.500112
350: X: -0.406865, Y: -0.292400, Z: -0.865426
351: X: 0.008508, Y: -0.016299, Z: -0.999831
352: X: 0.421852, Y: 0.264208, Z: -0.867315
353: X: 0.722778, Y: 0.474194, Z: -0.502724
354: X: 0.830372, Y: 0.557201, Z: -0.002993
355: X: 0.715071, Y: 0.490506, Z: 0.498073
356: X: 0.407318, Y: 0.291687, Z: 0.865454
357: X: -0.010057, Y: 0.014268, Z: 0.999848
358: X: -0.424395, Y: -0.266875, Z: 0.865255
359: X: -0.724321, Y: -0.476184, Z: 0.498606
360: X: -0.803451, Y: -0.536113, Z: -0.258939
361: X: -0.719757, Y: -0.480144, Z: -0.501410
362: X: -0.415274, Y: -0.277027, Z: -0.866489
363: X: 0.000007, Y: 0.000016, Z: -1.000000
364: X: 0.415284, Y: 0.277053, Z: -0.866476
365: X: 0.719759, Y: 0.480156, Z: -0.501395
366: X: 0.831891, Y: 0.554935, Z: -0.001928
367: X: 0.721167, Y: 0.481056, Z: 0.498501
368: X: 0.416694, Y: 0.277955, Z: 0.865510
369: X: 0.000004, Y: 0.000016, Z: 1.000000
370: X: -0.416689, Y: -0.277931, Z: 0.865520
371: X: -0.721168, Y: -0.481046, Z: 0.498509
372: X: -0.803496, Y: -0.535520, Z: -0.260023
373: X: -0.722775, Y: -0.474184, Z: -0.502738
374: X: -0.421846, Y: -0.264191, Z: -0.867323
375: X: -0.008504, Y: 0.016321, Z: -0.999831
376: X: 0.406867, Y: 0.292421, Z: -0.865418
377: X: 0.713621, Y: 0.490558, Z: -0.500098
378: X: 0.829919, Y: 0.557883, Z: -0.001097
379: X: 0.724311, Y: 0.476182, Z: 0.498622
380: X: 0.424376, Y: 0.266875, Z: 0.865265
381: X: 0.010031, Y: -0.014262, Z: 0.999848
382: X: -0.407343, Y: -0.291677, Z: 0.865446
383: X: -0.715087, Y: -0.490497, Z: 0.498059
384: X: -0.799245, Y: -0.539861, Z: -0.264118
385: X: -0.722142, Y: -0.471615, Z: -0.506053
386: X: -0.425659, Y: -0.252091, Z: -0.869060
387: X: -0.015926, Y: 0.034716, Z: -0.999270
388: X: 0.397580, Y: 0.312149, Z: -0.862840
389: X: 0.704920, Y: 0.506451, Z: -0.496583
390: X: 0.824392, Y: 0.566015, Z: 0.002074
391: X: 0.723847, Y: 0.474806, Z: 0.500605
392: X: 0.429342, Y: 0.256668, Z: 0.865903
393: X: 0.018950, Y: -0.030533, Z: 0.999354
394: X: -0.397211, Y: -0.309759, Z: 0.863871
395: X: -0.706535, Y: -0.505453, Z: 0.495303
396: X: -0.790221, Y: -0.548372, Z: -0.273566
397: X: -0.717190, Y: -0.471146, Z: -0.513479
398: X: -0.425765, Y: -0.238689, Z: -0.872784
399: X: -0.021314, Y: 0.057401, Z: -0.998124
400: X: 0.388125, Y: 0.338008, Z: -0.857385
401: X: 0.693957, Y: 0.528736, Z: -0.488735
402: X: 0.815159, Y: 0.579153, Z: 0.009893
403: X: 0.719217, Y: 0.475744, Z: 0.506354
404: X: 0.430758, Y: 0.245452, Z: 0.868447
405: X: 0.025839, Y: -0.050914, Z: 0.998369
406: X: -0.387071, Y: -0.333988, Z: 0.859435
407: X: -0.695894, Y: -0.526899, Z: 0.487964
408: X: -0.775881, Y: -0.559912, Z: -0.290700
409: X: -0.707399, Y: -0.471146, Z: -0.526885
410: X: -0.421537, Y: -0.221615, Z: -0.879314
411: X: -0.024098, Y: 0.086871, Z: -0.995928
412: X: 0.378860, Y: 0.371967, Z: -0.847411
413: X: 0.680761, Y: 0.558339, Z: -0.474153
414: X: 0.801886, Y: 0.596958, Z: 0.024873
415: X: 0.709813, Y: 0.477522, Z: 0.517820
416: X: 0.427917, Y: 0.231055, Z: 0.873785
417: X: 0.030077, Y: -0.077675, Z: 0.996525
418: X: -0.377318, Y: -0.366133, Z: 0.850634
419: X: -0.683245, Y: -0.555616, Z: 0.473780
420: X: -0.755573, Y: -0.572860, Z: -0.317711
421: X: -0.692160, Y: -0.469521, Z: -0.548146
422: X: -0.412566, Y: -0.198082, Z: -0.889130
423: X: -0.024181, Y: 0.125781, Z: -0.991763
424: X: 0.369601, Y: 0.415832, Z: -0.830951
425: X: 0.664983, Y: 0.595771, Z: -0.450394
426: X: 0.784206, Y: 0.618539, Z: 0.049300
427: X: 0.695362, Y: 0.478083, Z: 0.536572
428: X: 0.420691, Y: 0.210745, Z: 0.882386
429: X: 0.031677, Y: -0.113600, Z: 0.993021
430: X: -0.367792, Y: -0.408349, Z: 0.835452
431: X: -0.668214, Y: -0.592487, Z: 0.449942
432: X: -0.729053, Y: -0.584637, Z: -0.355923
433: X: -0.671546, Y: -0.463529, Z: -0.578072
434: X: -0.399650, Y: -0.164919, Z: -0.901711
435: X: -0.022821, Y: 0.176903, Z: -0.983964
436: X: 0.358989, Y: 0.471286, Z: -0.805616
437: X: 0.645507, Y: 0.641208, Z: -0.414938
438: X: 0.761499, Y: 0.642546, Z: 0.085171
