454: X: -17.828432, Y: 12.120287, Z: -6.151466
455: X: -21.160267, Y: 10.207363, Z: -11.025596
456: X: -24.500513, Y: 12.647376, Z: -17.102011
457: X: -23.566732, Y: 15.607705, Z: -22.476213
458: X: -20.639683, Y: 19.981880, Z: -25.765068
459: X: -16.503668, Y: 24.597839, Z: -26.087324
460: X: -12.266926, Y: 28.218744, Z: -23.356638
461: X: -9.064692, Y: 29.874372, Z: -18.304695
462: X: -7.754999, Y: 29.121103, Z: -12.285158
463: X: -8.688780, Y: 26.160776, Z: -6.910957
464: X: -11.615825, Y: 21.786604, Z: -3.622103
465: X: -15.751840, Y: 17.170643, Z: -3.299842
466: X: -19.988579, Y: 13.549740, Z: -6.030524
467: X: -23.190815, Y: 11.894108, Z: -11.082466
468: X: -26.605083, Y: 14.678493, Z: -17.035913
469: X: -25.853710, Y: 18.232702, Z: -22.067873
470: X: -23.192093, Y: 23.089230, Z: -24.869209
471: X: -19.333410, Y: 27.946774, Z: -24.689306
472: X: -15.311592, Y: 31.503763, Z: -21.576372
473: X: -12.204285, Y: 32.807102, Z: -16.364511
474: X: -10.844082, Y: 31.507566, Z: -10.450242
475: X: -11.595454, Y: 27.953362, Z: -5.418284
476: X: -14.257070, Y: 23.096838, Z: -2.616946
477: X: -18.115749, Y: 18.239290, Z: -2.796846
478: X: -22.137568, Y: 14.682299, Z: -5.909777
479: X: -25.244877, Y: 13.378955, Z: -11.121634
480: X: -28.835976, Y: 16.565550, Z: -16.766682
481: X: -28.416998, Y: 20.756721, Z: -21.324762
482: X: -26.143888, Y: 26.096518, Z: -23.524105
483: X: -22.625732, Y: 31.154140, Z: -22.775404
484: X: -18.805216, Y: 34.574409, Z: -19.279268
485: X: -15.706041, Y: 35.440865, Z: -13.972488
486: X: -14.158630, Y: 33.521339, Z: -8.277009
487: X: -14.577613, Y: 29.330172, Z: -3.718930
488: X: -16.850716, Y: 23.990377, Z: -1.519584
489: X: -20.368872, Y: 18.932753, Z: -2.268283
490: X: -24.189388, Y: 15.512481, Z: -5.764415
491: X: -27.288563, Y: 14.646022, Z: -11.071194
492: X: -31.224098, Y: 18.215582, Z: -16.155275
493: X: -31.340691, Y: 23.020599, Z: -20.081568
494: X: -29.607908, Y: 28.792379, Z: -21.565336
495: X: -26.490040, Y: 33.984375, Z: -20.209009
496: X: -22.822523, Y: 37.205402, Z: -16.376011
497: X: -19.588064, Y: 37.592381, Z: -11.093392
498: X: -17.653332, Y: 35.041630, Z: -5.776626
